concurrency,count,load_time,instantiate_time,stop_time,container_removal_time,image_removal_time,display_date
4,63,11810009105,240687892,1777441257,192080929,471245505,2024-04-15 22:19:18
4,64,12133398403,281593648,2080663157,193779419,504481892,2024-04-15 22:21:03
4,65,12107929116,212816149,1625702204,194048860,466751224,2024-04-15 22:22:48
4,66,11518801775,323885134,1840063692,194894994,462970359,2024-04-15 22:24:33
4,67,12141424214,305530779,1836601937,199115913,464946950,2024-04-15 22:26:18
4,68,10838792980,243853680,1968617660,193190823,466555263,2024-04-15 22:28:02
4,69,12009234540,253933955,1704177244,192387579,465092801,2024-04-15 22:29:47
4,70,12169257783,296741617,1859991708,194868808,509968322,2024-04-15 22:31:33
4,71,11882967234,317497277,1634930564,199644356,478020191,2024-04-15 22:33:18
4,72,12107064734,323524497,1884616278,191857707,510334509,2024-04-15 22:35:03
4,73,11991610704,260474009,1702399758,193235971,464573268,2024-04-15 22:36:48
4,74,11023250853,263559634,2070937693,195365679,463700528,2024-04-15 22:38:32
4,75,11614078061,299326027,1769619675,195311671,474610579,2024-04-15 22:40:17
4,76,11886078758,341727813,1640245332,193838796,472809145,2024-04-15 22:42:03
4,77,10999260737,255147052,1709050404,191374143,499103894,2024-04-15 22:43:47
4,78,11842561813,255940321,1911394303,192297958,474820655,2024-04-15 22:45:32
4,79,12002756911,263399252,1919027888,191104545,466792376,2024-04-15 22:47:17
4,80,11119831235,302049918,1746743341,254726763,473481570,2024-04-15 22:49:01
4,81,11448057334,247285525,1669444942,195668139,473408865,2024-04-15 22:50:46
4,82,11750499901,305061690,1689939753,193979318,466219415,2024-04-15 22:52:32
4,83,11073823249,216491155,1817346636,195487618,461781237,2024-04-15 22:54:16
4,84,11771498827,252157016,1690265339,191488411,468361797,2024-04-15 22:56:01
4,85,12251018038,263968287,1933658632,193067926,481202445,2024-04-15 22:57:46
4,86,11081831268,330702328,1654271074,196323370,510574109,2024-04-15 22:59:30
4,87,12209631332,268560034,2022486200,192953814,468000016,2024-04-15 23:01:15
4,88,12231399003,322083327,1884478248,196812433,516520060,2024-04-15 23:03:01
4,89,10955927775,273826724,1675318943,193949613,466283455,2024-04-15 23:04:45
4,90,11893800162,267148667,1646066830,194469583,469150036,2024-04-15 23:06:30
4,91,11824874409,249132859,1696179837,194661245,466473812,2024-04-15 23:08:15
4,92,11036662092,278247468,1660971595,194470323,474222208,2024-04-15 23:09:59
4,93,11897499741,293720685,1664591514,196297328,467041488,2024-04-15 23:11:44
4,94,11226316843,306657217,1686828584,197603553,468613772,2024-04-15 23:13:29
4,95,11066074374,251266376,1678830049,197860873,465894188,2024-04-15 23:15:13
4,96,11061808945,242616834,1910680537,199842979,465144297,2024-04-15 23:16:57
4,97,12009971176,255233862,1840919495,197073224,466830922,2024-04-15 23:18:43
4,98,11122038241,283464939,1827246730,191220597,466608066,2024-04-15 23:20:27
4,99,11972017022,276419751,1682982040,194484288,464611727,2024-04-15 23:22:12
4,100,11987280471,243373281,1678942592,194877562,474475883,2024-04-15 23:23:57
8,1,11088103753,491870326,2208430164,411704371,506319326,2024-04-15 23:25:42
8,2,11797394335,434077239,2160922588,408082688,464213423,2024-04-15 23:27:27
8,3,11777657241,379914481,2119219221,356239808,472998121,2024-04-15 23:29:13
8,4,12317307186,461351882,2207726641,410151879,467274046,2024-04-15 23:30:59
8,5,11743008667,408051761,2185922014,406922198,467268535,2024-04-15 23:32:44
8,6,11053710023,413633202,2613164784,407509447,467291380,2024-04-15 23:34:29
8,7,11119592829,369465390,2287380056,405177309,508644093,2024-04-15 23:36:14
8,8,11185767530,451710014,2097404266,409577534,466070528,2024-04-15 23:38:00
8,9,12264138972,405431580,2170736830,410698475,507265136,2024-04-15 23:39:46
8,10,11981995483,369435965,2028397955,413195789,466787710,2024-04-15 23:41:31
8,11,11743823992,416793592,2121496960,414900121,507277226,2024-04-15 23:43:17
8,12,12145680992,410277909,1981679139,412197812,483964477,2024-04-15 23:45:02
8,13,10960195719,405866307,2150932459,414227882,467292487,2024-04-15 23:46:47
8,14,11784900200,369010765,2150949599,408262946,468428686,2024-04-15 23:48:32
8,15,12215276784,394247151,2212152478,406050242,467034758,2024-04-15 23:50:18
8,16,12038637054,434761692,2023513176,411058320,465392963,2024-04-15 23:52:04
8,17,11892457660,488214398,2499488743,413673143,464221023,2024-04-15 23:53:50
8,18,11978051525,376439486,2094740256,411908402,466571814,2024-04-15 23:55:35
8,19,11758634014,364890954,2109066518,402761177,483534321,2024-04-15 23:57:21
8,20,12327680374,387607162,2364931643,413773941,468229240,2024-04-15 23:59:07
8,21,11658563649,409889777,2098713857,407718755,468053032,2024-04-16 0:00:52
8,22,12104629291,423320852,2196119244,409566688,489092639,2024-04-16 0:02:38
8,23,11991891478,429803049,2058661006,412366445,506727006,2024-04-16 0:04:24
8,24,12154695565,454665576,3016663192,420453576,469186631,2024-04-16 0:06:10
8,25,11963254323,416702075,2244439861,407322356,466323741,2024-04-16 0:07:56
8,26,11208326131,460262030,2063254790,360670011,464482003,2024-04-16 0:09:41
